Market Capitalization ₦ Billion,All share Index,Value of Shares Traded ₦ Billion,Number Of Deals,Interest Rate,Inflation Rate,Money Supply M3 ₦ Billion,Industrial Productivity ₦ Billion
31.2,"1,107.60",0.49,"49,029",-0.2577,0.4459,129.09,341.66
47.5,"1,543.80",0.8,"40,398",-0.0705,0.5717,198.48,417.06
66.3,"2,205.00",0.99,"42,074",-0.1592,0.5703,266.94,553.96
180.4,"5,092.20",1.84,"49,564",-0.3145,0.7284,318.76,"1,132.84"
285.8,"6,992.10",6.98,"49,515",-0.0526,0.2927,370.33,"1,530.05"
281.9,"6,440.50",10.33,"78,089",0.1213,0.0853,429.73,"1,557.54"
262.6,"5,672.70",13.57,"84,935",0.1148,0.1,525.64,"1,379.20"
300,"5,266.40",14.07,"123,509",0.0605,0.0662,699.73,"1,609.82"
472.3,"8,111.00",28.15,"256,523",-0.0114,0.0693,1036.08,"2,388.83"
662.5,"10,963.10",57.68,"426,163",0.1214,0.1887,1309.36,"2,328.41"
764.9,"12,137.70",59.41,"451,850",0.0302,0.1288,1555.80,"2,650.03"
"1,359.30","20,128.94",120.4,"621,717",0.0994,0.1403,1766.01,"3,525.14"
"2,112.50","23,844.50",225.82,"973,526",-0.026,0.15,2131.17,"5,145.43"
"2,900.06","24,085.80",262.94,"1,021,967",-0.0159,0.1786,2612.89,"6,520.74"
"5,120.90","33,189.30",470.25,"1,367,954",-0.0563,0.0823,3562.70,"7,822.11"
"13,181.69","57,990.20","1,076.02","2,615,020",0.0919,0.0539,6689.37,"8,441.76"
"9,562.97","31,450.78","1,679.14","3,535,631",0.0668,0.1158,9513.85,"9,874.38"
"7,030.84","20,827.17",685.72,"1,739,365",0.1818,0.1255,10928.02,"9,229.81"
"9,918.21","24,770.52",799.91,"1,925,314",0.0107,0.1372,11662.91,"13,826.43"
"10,275.34","20,730.63",638.93,"1,235,467",0.0569,0.1084,14192.09,"17,853.11"
"14,800.94","28,078.81",808.99,"1,147,626",0.0622,0.1222,18035.94,"19,587.72"
"19,077.42","41,329.19","2,350.88","3,245,866",0.112,0.0848,20615.45,"20,853.85"
"16,875.10","34,657.15","1,338.60","2,248,939",0.1136,0.0806,20451.73,"22,213.01"
"17,003.39","28,642.25",978.05,"950,001",0.136,0.0901,21288.24,"19,188.58"
"16,185.73","26,874.62",577.82,"837,259",0.0669,0.157,28083.91,"18,641.17"
"21,128.90","38,243.19","1,078.49","879,067",0.0579,0.165,28473.66,"25,639.90"
"21,904.04","31,430.50","1,203.37","1,048,777",0.0606,0.121,32739.62,"33,218.33"
"25,890.22","26,842.07",931.48,"875,711",0.0452,0.114,34850.88,"39,879.69"
"38,589.58","40,270.72","1,086.18","1,156,830",0.0537,0.1325,38904.92,"43,530.78"
"42,054.50","42,716.44",953.87,"1,060,017",0.0123,0.1695,43818.47,"55,300.97"
