Market Capitalization ₦ Billion,All share Index,Value of Shares Traded ₦ Billion,Number Of Deals,Interest Rate,Inflation Rate,Money Supply M3 ₦ Billion,Industrial Productivity ₦ Billion
31200000000.00,1107.60,490000000,49029.00,-0.26,0.45,129085474625.71,341660000000.00
47500000000.00,1543.80,800000000,40398.00,-0.07,0.57,198479203185.89,417060000000.00
66300000000.00,2205.00,990000000,42074.00,-0.16,0.57,266944886466.51,553960000000.00
180400000000.00,5092.20,1840000000,49564.00,-0.31,0.73,318763466353.89,1132840000000.00
285800000000.00,6992.10,6980000000,49515.00,-0.05,0.29,370333525470.18,1530050000000.00
281900000000.00,6440.50,10330000000,78089.00,0.12,0.09,429731330539.88,1557540000000.00
262600000000.00,5672.70,13570000000,84935.00,0.11,0.10,525637727180.08,1379200000000.00
300000000000.00,5266.40,14070000000,123509.00,0.06,0.07,699734504725.31,1609820000000.00
472300000000.00,8111.00,28150000000,256523.00,-0.01,0.07,1036079546576.85,2388830000000.00
662500000000.00,10963.10,57680000000,426163.00,0.12,0.19,1309364180812.14,2328410000000.00
764900000000.00,12137.70,59410000000,451850.00,0.03,0.13,1555800900000.00,2650030000000.00
1359300000000.00,20128.94,120400000000,621717.00,0.10,0.14,1766010900000.00,3525140000000.00
2112500000000.00,23844.50,225820000000,973526.00,-0.03,0.15,2131169424825.48,5145430000000.00
2900060000000.00,24085.80,262940000000,1021966.60,-0.02,0.18,2612891130000.00,6520740000000.00
5120900000000.00,33189.30,470250000000,1367954.00,-0.06,0.08,3562695900000.00,7822110000000.00
13181690000000.00,57990.20,1076020000000,2615020.00,0.09,0.05,6689365869679.82,8441760000000.00
9562970000000.00,31450.78,1679140000000,3535631.00,0.07,0.12,9513845555158.30,9874380000000.00
7030840000000.00,20827.17,685720000000,1739365.00,0.18,0.13,10928017136279.70,9229810000000.00
9918210000000.00,24770.52,799910000000,1925314.00,0.01,0.14,11662911791941.10,13826430000000.00
10275340000000.00,20730.63,638930000000,1235467.00,0.06,0.11,14192086085339.00,17853110000000.00
14800940000000.00,28078.81,808990000000,1147626.00,0.06,0.12,18035937096111.00,19587720000000.00
19077420000000.00,41329.19,2350880000000,3245866.00,0.11,0.08,20615452342431.60,20853850000000.00
16875100000000.00,34657.15,1338600000000,2248939.00,0.11,0.08,20451731207347.00,22213010000000.00
17003390000000.00,28642.25,978050000000,950001.00,0.14,0.09,21288239046977.80,19188580000000.00
16185730000000.00,26874.62,577820000000,837259.00,0.07,0.16,28083906609170.80,18641170000000.00
21128900000000.00,38243.19,1078490000000,879067.00,0.06,0.17,28473663240182.40,25639900000000.00
21904040000000.00,31430.50,1203370000000,1048777.00,0.06,0.12,32739618793410.70,33218330000000.00
25890220000000.00,26842.07,931480000000,875711.00,0.05,0.11,34850876017000.00,39879690000000.00
38589580000000.00,40270.72,1086180000000,1156830.00,0.05,0.13,38904920077173.20,43530780000000.00
42054500000000.00,42716.44,953870000000,1060017.00,0.01,0.17,43818474795037.40,55300970000000.00
